SampleID,Customer Name,Attention,Address 1,Address 2,Address 3,Post Code,Telephone,Fax Number,Unique Code,Customer Reference,Second Customer Reference,Serial Number,General Description,System Description,Manufacturer,Model,Oil/Fluid Long Name,Oil/Fluid Short Name,Unit Type,Test Suite,Laboratory Ref,Unit Hours,Oil/Fluid Hours,Oil/Fluid Added,Completed Date,Date Taken,Alert Level,Ticket Number,Analyst,Aircraft Registration,Receipt Date,Booked In date,Site,Fuel Type,Prepaid,Sample Reason,Oil Changed,Lab Memo,Billing Date,Due Date,Delivery Reference,Oil/Fluid ID,Billing Completed,Viscosity at 40°C (cSt),Viscosity at 100°C (cSt),Water (% wt),Soot by FTIR (% wt),TAN (mgKOH/g),TBN (mgKOH/g),Phosphorus (% wt),Zinc (% wt),Calcium (% wt),Barium (% wt),Magnesium (% wt),Aluminium (ppm),Iron (ppm),Chromium (ppm),Copper (ppm),Lead (ppm),Tin (ppm),Silicon (ppm),Sodium (ppm),Boron (ppm),Vanadium (ppm),Molybdenum (ppm),Nickel (ppm),Silver (ppm),Titanium (ppm),Manganese (ppm),Cadmium (ppm),Antimony (ppm),Lithium (ppm),Sulphur (ICP) (ppm),Chlorine (ICP) (ppm),PS 4 - 6 µm (per 100ml),PS 6 - 14 µm (per 100ml),PS 14 - 21 µm (per 100ml),PS 21 - 38 µm (per 100ml),PS > 38 µm (per 100ml),ISO 4406 1999 (4>6>14µm),Oxidation (Abs/cm),Nitration (Abs/cm),Glycol (POS/NEG),IpH (pH Units),TGA (NA) (% wt),Volume/ Capacity,Component Serial Number,Cobalt (ppm),Potassium (ppm),Sulphur (Multiple),Chlorine (Multiple)
153596,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1072,J Z922,-,1454410,Stannuco 620,Engine,Jenbacher,JMS 620 J03,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73759,8653,1152,-,13/01/2022 12:07 13/01,04/01/2022 00:00 04/01,Normal (Green),1048592,willr,1454409,10/01/2022 14:34 10/01,10/01/2022 16:16:34,Stannuco 620,NG1,True,Routine,-,-,13/01/2022 11:07:14,12/01/2022 14:34:00,-,244,Y,131,14.5,<0.05,0.06,2.91,4.2,0.0310,0.0366,0.1959,<0.0001,0.0008,3,5,<1,<1,<1,<1,2,3,2,<1,1,<1,<1,<1,<1,<1,<1,<1,2394,<15,-,-,-,-,-,-,11,5,NEG,5.74,-,-,-,<1,<1,2394,<15,
153112,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1075,J Z936,-,1454981,Voort Brielle 4 Gebr.vd,Engine,Jenbacher,JMS 612 J03,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73375,6958,456,-,05/01/2022 15:39 05/01,22/12/2021 00:00 22/12,Normal (Green),1050033,willr,1455023,30/12/2021 16:00 30/12,31/12/2021 10:20:11,Voort Brielle 4 Gebr.vd,NG1,True,Routine,Y,-,05/01/2022 14:38:56,04/01/2022 16:00:00,-,244,Y,123,13.9,<0.05,0.05,2.12,5.3,0.0306,0.0332,0.2005,<0.0001,0.0006,2,4,<1,<1,1,<1,2,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2447,<15,-,-,-,-,-,-,5,3,NEG,7.15,-,-,-,-,<1,2447,<15,
153751,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1077,J S901,-,1127464,Hollandplant,Engine,Jenbacher,JGS 616 F02,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73913,29192,1138,-,18/01/2022 17:09 18/01,07/01/2022 00:00 07/01,Normal (Green),1048811,andy,1127477,14/01/2022 13:30 14/01,14/01/2022 16:59:10,Hollandplant,NG,True,Routine,-,-,18/01/2022 17:09:17,18/01/2022 13:30:00,-,244,Y,128,14.4,<0.05,0.10,2.26,4.7,0.0317,0.0389,0.2055,<0.0001,0.0008,3,7,<1,<1,<1,<1,3,2,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,2639,<15,-,-,-,-,-,-,9,3,NEG,6.46,-,-,-,-,<1,2639,<15,
153316,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1079,J AA41,-,1457738,Cluster Bergschenhoek 620,Engine,Jenbacher,JMS 620 J03,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73483,8074,565,-,10/01/2022 19:23 10/01,27/12/2021 00:00 27/12,Normal (Green),1049910,andy,1457743,07/01/2022 12:00 07/01,07/01/2022 12:47:33,Cluster Bergschenhoek 620,NG,True,Routine,-,GEO 40 on label,10/01/2022 19:23:00,11/01/2022 12:00:00,-,244,Y,126,14.2,<0.05,0.05,2.20,4.7,0.0300,0.0354,0.1939,<0.0001,0.0008,2,3,<1,<1,<1,<1,2,4,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2438,<15,-,-,-,-,-,-,6,3,NEG,6.68,-,-,-,<1,<1,2438,<15,
153750,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1080,J AC51,-,1462365,Monsanto,Engine,Jenbacher,JMS 420 E05,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73912,4669,555,-,18/01/2022 17:08 18/01,07/01/2022 00:00 07/01,Normal (Green),1048813,andy,1462363,14/01/2022 13:30 14/01,14/01/2022 16:58:03,Monsanto,NG,True,Routine,-,-,18/01/2022 17:08:16,18/01/2022 13:30:00,-,244,Y,124,14.0,<0.05,0.06,2.14,4.7,0.0297,0.0359,0.1969,<0.0001,0.0007,2,4,<1,<1,1,<1,2,3,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2492,<15,-,-,-,-,-,-,7,4,NEG,6.20,-,-,-,-,<1,2492,<15,
153604,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1081,J Z923,-,1454421,Stannuco 624,Engine,Jenbacher,JMS 624 K01,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73767,7253,938,-,13/01/2022 11:50 13/01,04/01/2022 00:00 04/01,Normal (Green),1048590,willr,1454464,10/01/2022 14:34 10/01,10/01/2022 16:26:17,Stannuco 624,NG,True,Routine,-,-,13/01/2022 10:49:50,12/01/2022 14:34:00,-,244,Y,131,14.6,<0.05,0.05,3.23,3.9,0.0273,0.0315,0.1762,<0.0001,0.0007,3,3,<1,<1,<1,<1,2,3,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2250,<15,-,-,-,-,-,-,9,5,NEG,5.69,-,-,-,<1,<1,2250,<15,
163871,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1082,J AF51,-,1469520,Onselen (nieuw),Engine,Jenbacher,JMS 416 C05,Jenbacher N Oil 40,-,E,GEJ-01,GEAG74047,5081,463,-,21/01/2022 10:22 21/01,12/01/2022 00:00 12/01,Normal (Green),1037972,Neil,1469519,17/01/2022 12:30 17/01,17/01/2022 17:59:43,Onselen (nieuw),NG,True,Routine,-,-,21/01/2022 09:22:37,19/01/2022 12:30:00,-,244,N,125,14.3,<0.05,0.06,2.03,4.8,0.0305,0.0354,0.1944,<0.0001,0.0014,2,3,<1,<1,<1,<1,2,2,1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2294,<15,-,-,-,-,-,-,7,3,NEG,6.53,-,-,-,<1,<1,2294,<15,
153123,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1085,J AE23,-,1466656,Waalzicht 3,Engine,Jenbacher,JMS 620 J03,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73386,5436?,1125?,-,05/01/2022 13:03 05/01,20/12/2021 00:00 20/12,Advanced (Red),1050502,willr,1466655,30/12/2021 16:00 30/12,31/12/2021 10:40:30,Waalzicht 3,NG,True,Routine,-,-,05/01/2022 12:03:09,04/01/2022 16:00:00,-,244,Y,150,15.0,<0.05,0.06,4.30,2.9,0.0302,0.0360,0.2078,<0.0001,0.0007,3,10,<1,<1,3,<1,2,3,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2449,<15,-,-,-,-,-,-,16,8,NEG,5.08,-,-,-,-,<1,2449,<15,
153493,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1086,J D597,-,4867651,Regullerenpad 1,Engine,Jenbacher,JMS 612 E170,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73656,58993,3491?,-,12/01/2022 12:58 12/01,05/01/2022 00:00 05/01,Normal (Green),1034189,willr,4867661,10/01/2022 12:10 10/01,10/01/2022 13:19:54,Regullerenpad 1,NG,True,Routine,-,Jenbcher GEO 40 on label,12/01/2022 11:58:08,12/01/2022 12:10:00,-,244,Y,125,14.0,<0.05,0.05,2.43,5.2,0.0302,0.0343,0.1857,<0.0001,0.0009,3,3,<1,<1,<1,<1,5,6,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2400,<15,-,-,-,-,-,-,6,3,NEG,7.05,-,-,-,<1,<1,2400,<15,
163834,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1087,J AF97,-,1470832,Benteltom 612,Engine,Jenbacher,JMS 612 J11,Jenbacher N Oil 40,-,E,GEJ-01,GEAG74010,6127,2421,-,20/01/2022 21:22 20/01,10/01/2022 00:00 10/01,Advanced (Red),1034120,andy,1470831,17/01/2022 12:30 17/01,17/01/2022 16:30:11,Benteltom 612,NG,True,Routine,-,-,20/01/2022 21:22:09,19/01/2022 12:30:00,-,244,N,133,14.6,<0.05,0.07,3.93,3.0,0.0302,0.0377,0.1998,<0.0001,0.0008,2,10,<1,2,3,<1,2,5,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2371,<15,-,-,-,-,-,-,12,6,NEG,5.24,-,-,-,<1,<1,2371,<15,
153052,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1089,J D777,-,1251333,Helderman m1,Engine,Jenbacher,JMS 620 E170,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73315,6188,4375,-,04/01/2022 15:44 04/01,23/12/2021 00:00 23/12,Normal (Green),1050125,ling,4995651,30/12/2021 13:00 30/12,30/12/2021 16:54:58,Helderman m1,NG1,True,Routine,-,-,04/01/2022 15:44:26,04/01/2022 13:00:00,-,244,Y,125,14.3,<0.05,0.07,2.56,4.7,0.0307,0.0339,0.2008,<0.0001,0.0007,3,4,<1,<1,1,<1,2,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2501,<15,-,-,-,-,-,-,7,3,NEG,6.73,-,-,-,-,<1,2501,<15,
163883,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1090,J D013,-,1250419,Wiels 2 (WP12 M4 EC1),Engine,Jenbacher,JMS 620 E170,Jenbacher N Oil 40,-,E,GEJ-01,GEAG74059,5461,471,-,21/01/2022 10:39 21/01,10/01/2022 00:00 10/01,Normal (Green),27171,Neil,4626132,17/01/2022 12:30 17/01,17/01/2022 18:08:23,Wiels 2 (WP12 M4 EC1),NG1,True,Routine,-,-,21/01/2022 09:38:58,19/01/2022 12:30:00,-,244,N,123,14.1,<0.05,0.06,1.90,5.0,0.0307,0.0342,0.1875,<0.0001,0.0008,2,3,<1,<1,<1,<1,2,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2332,<15,-,-,-,-,-,-,6,3,NEG,6.91,-,-,-,<1,<1,2332,<15,
153102,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1096,J AF66,-,1469945,Geopower 1,Engine,Jenbacher,JMS 416 B06,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73365,7655,1185,-,04/01/2022 17:20 04/01,15/12/2021 00:00 15/12,Normal (Green),1050415,willr,1469944,30/12/2021 16:00 30/12,31/12/2021 10:03:47,Geopower 1,NG1,True,Routine,-,-,04/01/2022 16:20:37,04/01/2022 16:00:00,-,244,Y,125,14.4,<0.05,0.04,2.23,5.0,0.0307,0.0343,0.2097,<0.0001,0.0008,3,2,<1,<1,<1,<1,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2404,<15,-,-,-,-,-,-,7,3,NEG,6.66,-,-,-,-,<1,2404,<15,
153161,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1097,J AF66,-,1469924,Geopower 2,Engine,Jenbacher,JMS 416 B06,Jenbacher N Oil 40,-,E,GEJ-01,GEUK45727,7290,3349,-,05/01/2022 10:42 05/01,15/12/2021 00:00 15/12,Normal (Green),1050416,Neil,1469932,30/12/2021 12:30 30/12,30/12/2021 14:03:58,Geopower 2,NG1,True,Routine,-,-,05/01/2022 10:41:42,04/01/2022 12:30:00,-,244,Y,132,14.7,<0.05,<0.01,3.23,4.5,0.0333,0.0409,0.2271,<0.0001,0.0009,3,4,<1,<1,3,<1,2,3,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2337,<15,-,-,-,-,-,-,9,3,NEG,5.86,-,-,-,-,<1,2337,<15,
153187,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1098,J D741,-,1251076,KBB Locatie 2,Engine,Jenbacher,JMS 620 E170,Jenbacher N Oil 40,-,E,GEJ-01,GEUK45753,7695,4238,-,06/01/2022 08:27 06/01,14/12/2021 00:00 14/12,Normal (Green),1050408,Neil,4962561,30/12/2021 12:30 30/12,30/12/2021 14:35:22,KBB Locatie 2,NG1,True,Routine,-,-,06/01/2022 08:26:51,04/01/2022 12:30:00,-,244,Y,133,14.8,<0.05,<0.01,2.89,4.4,0.0316,0.0381,0.2071,<0.0001,0.0006,3,9,<1,<1,1,<1,3,4,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2256,<15,-,-,-,-,-,-,10,4,NEG,6.10,-,-,-,-,<1,2256,<15,
153060,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1103,J D308,-,1229722,Maarel 1 (Schenkeldijk),Engine,Jenbacher,JMS 620 E166,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73323,83497,3029,-,04/01/2022 16:02 04/01,21/12/2021 00:00 21/12,Normal (Green),1052297,ling,4727632,30/12/2021 13:00 30/12,30/12/2021 17:03:31,Maarel 1 (Schenkeldijk),NG,True,Routine,-,-,04/01/2022 16:01:56,04/01/2022 13:00:00,-,244,Y,133,14.8,<0.05,0.05,3.15,3.8,0.0309,0.0361,0.2211,<0.0001,0.0008,3,8,<1,<1,2,<1,2,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2496,<15,-,-,-,-,-,-,10,4,NEG,6.05,-,-,-,-,<1,2496,<15,
153056,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1104,J D308,-,1239088,Maarel 2 (Schenkeldijk),Engine,Jenbacher,JMS 620 S4E01,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73319,21745,1784,-,04/01/2022 15:55 04/01,21/12/2021 00:00 21/12,Advanced (Red),1052298,ling,4727633,30/12/2021 13:00 30/12,30/12/2021 17:00:30,Maarel 2 (Schenkeldijk),NG,True,Routine,-,-,04/01/2022 15:54:58,04/01/2022 13:00:00,-,244,Y,133,14.8,<0.05,0.09,4.00,3.6,0.0321,0.0368,0.2204,<0.0001,0.0008,3,18,1,<1,3,<1,2,3,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2518,<15,-,-,-,-,-,-,14,4,NEG,5.84,-,-,-,-,<1,2518,<15,
153103,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1105,J C290,-,4341411,Voskamp 3,Engine,Jenbacher,JMS 616 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73366,4436,1469,-,04/01/2022 17:30 04/01,22/12/2021 00:00 22/12,Normal (Green),1050030,willr,4341461,30/12/2021 16:00 30/12,31/12/2021 10:06:30,Voskamp 3,NG1,True,Routine,-,GE0005.1105 ON LABEL,04/01/2022 16:25:08,04/01/2022 16:00:00,-,244,Y,136,14.9,<0.05,0.06,3.03,4.0,0.0307,0.0348,0.2078,<0.0001,0.0009,2,7,<1,<1,4,<1,2,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2756,<15,-,-,-,-,-,-,7,3,NEG,5.90,-,-,-,-,<1,2756,<15,
163991,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1106,J D309,-,1246824,Adrichem Steenbergen 1,Engine,Jenbacher,JMS 620 E166,Jenbacher N Oil 40,-,E,GEJ-01,GEAG74159,70800,1969,-,22/01/2022 12:32 22/01,14/01/2022 00:00 14/01,Normal (Green),1034475,anthonymann,4727801,19/01/2022 12:00 19/01,19/01/2022 16:37:30,Adrichem Steenbergen 1,NG,True,Routine,Y,-,22/01/2022 12:32:03,21/01/2022 12:00:00,-,244,N,129,14.5,<0.05,0.06,2.88,4.6,0.0309,0.0367,0.2080,<0.0001,0.0007,3,5,<1,3,2,<1,3,2,1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2634,<15,-,-,-,-,-,-,8,3,NEG,6.31,-,-,-,-,<1,2634,<15,
153188,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1106,J D309,-,1246824,Adrichem Steenbergen 1,Engine,Jenbacher,JMS 620 E166,Jenbacher N Oil 40,-,E,GEJ-01,GEUK45754,70208,1377,-,06/01/2022 08:29 06/01,14/12/2021 00:00 14/12,Normal (Green),1050405,Neil,4727801,30/12/2021 12:30 30/12,30/12/2021 14:36:09,Adrichem Steenbergen 1,NG,True,Routine,-,-,06/01/2022 08:28:46,04/01/2022 12:30:00,-,244,Y,127,14.3,<0.05,<0.01,2.49,5.2,0.0304,0.0353,0.1961,<0.0001,0.0006,3,4,<1,3,1,<1,2,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2224,<15,-,-,-,-,-,-,6,2,NEG,6.47,-,-,-,-,<1,2224,<15,
164003,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1107,J L027,-,1244297,De Jong Aubergines 620 (M1),Engine,Jenbacher,JMS 620 FO3,Jenbacher N Oil 40,-,E,GEJ-01,GEAG74171,47618,2006,-,23/01/2022 14:05 23/01,14/01/2022 00:00 14/01,Normal (Green),1034512,andy,1040937,19/01/2022 12:00 19/01,19/01/2022 17:14:08,De Jong Aubergines 620 (M1),NG,True,Routine,-,-,23/01/2022 14:05:00,21/01/2022 12:00:00,-,244,N,135,14.9,<0.05,0.10,3.47,4.2,0.0355,0.0419,0.2321,<0.0001,0.0013,3,10,1,<1,<1,<1,3,3,3,<1,<1,<1,<1,<1,<1,<1,<1,<1,2838,<15,-,-,-,-,-,-,14,4,NEG,6.03,-,-,-,-,<1,2838,<15,
163824,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1109,J D436,-,1246929,EGolf 1 (WP12 M5 EC1) ,Engine,Jenbacher,JMS 620 J01,Jenbacher N Oil 40,-,E,GEJ-01,GEAG74000,14578,2142,-,20/01/2022 17:28 20/01,10/01/2022 00:00 10/01,Early (Yellow),27172,andy,4749102,17/01/2022 12:30 17/01,17/01/2022 16:22:53,EGolf 1 (WP12 M5 EC1),NG,True,Routine,-,-,20/01/2022 17:27:58,19/01/2022 12:30:00,-,244,N,138,15.1,<0.05,0.08,3.77,3.8,0.0333,0.0411,0.2207,<0.0001,0.0008,3,11,1,<1,<1,<1,3,4,1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2524,<15,-,-,-,-,-,-,16,5,NEG,5.70,-,-,-,<1,<1,2524,<15,
153609,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1110,J D287,-,1245766,Vliet 1 Kwintsheul,Engine,Jenbacher,JMS 620 S5E01,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73772,11832,500,-,13/01/2022 18:09 13/01,03/01/2022 00:00 03/01,Normal (Green),1016761,andy,4683331,10/01/2022 14:00 10/01,11/01/2022 09:29:01,Vliet 1 Kwintsheul,NG,True,Routine,-,unit/oil life?,13/01/2022 18:09:21,12/01/2022 14:00:00,-,244,Y,132,14.6,<0.05,0.08,2.88,4.3,0.0298,0.0351,0.1982,<0.0001,0.0007,3,6,<1,<1,<1,<1,2,3,1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2272,<15,-,-,-,-,-,-,12,4,NEG,6.09,-,-,-,<1,<1,2272,<15,
153167,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1110,J D287,-,1245766,Vliet 1 Kwintsheul,Engine,Jenbacher,JMS 620 S5E01,Jenbacher N Oil 40,-,E,GEJ-01,GEUK45733,11518,1006,-,05/01/2022 10:55 05/01,16/12/2021 00:00 16/12,Normal (Green),1052255,Neil,4683331,30/12/2021 12:30 30/12,30/12/2021 14:18:00,Vliet 1 Kwintsheul,NG,True,Routine,-,-,05/01/2022 10:54:32,04/01/2022 12:30:00,-,244,Y,130,14.5,<0.05,<0.01,3.08,4.5,0.0314,0.0368,0.2015,<0.0001,0.0007,3,6,<1,<1,<1,<1,3,3,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2245,<15,-,-,-,-,-,-,9,3,NEG,5.94,-,-,-,-,<1,2245,<15,
153577,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1111,J J499,-,1250231,Wagenweijdt 3,Engine,Jenbacher,JMS 624 H01 50,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73740,54415,906,-,13/01/2022 15:38 13/01,23/12/2021 00:00 23/12,Normal (Green),1050128,andy,1025565,10/01/2022 14:34 10/01,10/01/2022 14:36:25,Wagenweijdt 3,NG1,True,Routine,-,-,13/01/2022 15:38:10,12/01/2022 14:34:00,-,244,Y,130,14.7,0.0507,0.06,3.33,3.9,0.0293,0.0341,0.1875,<0.0001,0.0006,3,9,<1,10,<1,2,2,4,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2399,<15,-,-,-,-,-,-,9,4,NEG,5.95,-,-,-,<1,<1,2399,<15,
153376,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1114,J F725,-,1220562,Den Berk 1,Engine,Jenbacher,JMS 624 G01,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73543,72329,2795?,-,11/01/2022 16:37 11/01,27/12/2021 00:00 27/12,Normal (Green),1050380,willr,6036871,07/01/2022 12:00 07/01,07/01/2022 14:00:41,Den Berk 1,NG1,True,Routine,-,-,11/01/2022 15:36:46,11/01/2022 12:00:00,-,244,Y,124,14.2,<0.05,0.05,2.18,4.6,0.0301,0.0354,0.1950,<0.0001,0.0008,3,4,<1,<1,<1,<1,2,4,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2462,<15,-,-,-,-,-,-,7,3,NEG,6.52,-,-,-,<1,<1,2462,<15,
153051,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1115,J V312,-,1249610,Agro Care WP11-M10,Engine,Jenbacher,JMS 624 H11,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73314,24164,135,-,04/01/2022 15:40 04/01,23/12/2021 00:00 23/12,Normal (Green),1050124,ling,1329354,30/12/2021 13:00 30/12,30/12/2021 16:54:18,Agro Care WP11-M10,NG,True,Routine,-,-,04/01/2022 15:40:14,04/01/2022 13:00:00,-,244,Y,119,13.8,<0.05,0.05,1.89,5.8,0.0306,0.0327,0.1955,<0.0001,0.0007,3,2,<1,<1,<1,<1,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2515,<15,-,-,-,-,-,-,3,2,NEG,7.79,-,-,-,-,<1,2515,<15,
163845,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1116,J E293,-,1252769,Driehoek (3Hoek) Kwekerij de,Engine,Jenbacher,JMS 616 S5E01,Jenbacher N Oil 40,-,E,GEJ-01,GEAG74021,6411,600,-,21/01/2022 14:00 21/01,10/01/2022 00:00 10/01,Normal (Green),1034198,andy,5294251,17/01/2022 12:30 17/01,17/01/2022 16:39:56,Driehoek (3Hoek) Kwekerij de,NG,True,Routine,-,-,21/01/2022 13:59:52,19/01/2022 12:30:00,-,244,N,122,13.8,<0.05,0.06,2.14,4.9,0.0296,0.0335,0.1868,<0.0001,0.0007,3,4,<1,<1,<1,<1,3,3,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2379,<15,-,-,-,-,-,-,5,3,NEG,6.70,-,-,-,<1,<1,2379,<15,
153048,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.1120,J Q556,-,1239753,Agro Care WP11-M8,Engine,Jenbacher,JMS 624 H01,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73311,46611,153,-,04/01/2022 14:52 04/01,23/12/2021 00:00 23/12,Normal (Green),1050121,willr,1083405,30/12/2021 13:00 30/12,30/12/2021 16:51:52,Agro Care WP11-M8,NG,True,Routine,-,-,04/01/2022 13:52:38,04/01/2022 13:00:00,-,244,Y,121,13.9,<0.05,0.08,1.97,5.3,0.0313,0.0340,0.2018,<0.0001,0.0007,3,4,<1,<1,<1,<1,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2573,<15,-,-,-,-,-,-,5,2,NEG,7.35,-,-,-,-,<1,2573,<15,
